MONTH,AIRLINE_ID,CARRIER_GROUP,FULLTIME_EMPLOYEES
1,21161,1,387
1,21492,1,92
1,21518,4,39
1,21577,4,73
1,21652,1,623
1,21712,1,148
1,21754,4,50
1,21854,4,26
1,21875,4,32
1,20408,1,290
1,19917,3,5687
1,20007,3,2624
1,19874,2,488
1,20363,2,4191
1,20190,2,294
1,19805,3,94256
1,20453,2,474
1,20201,4,52
1,19930,3,15486
1,20409,3,15198
1,21167,2,1884
1,19790,3,76010
1,20366,3,4221
1,20436,3,3706
1,20107,3,167107
1,20368,3,3541
1,20500,2,1283
1,20166,1,115
1,20402,2,340
1,19690,3,5370
1,20370,2,1462
1,21629,1,311
1,21634,1,416
1,20372,1,131
1,20169,1,184
1,20151,2,660
1,20398,3,10690
1,20405,1,179
1,20108,1,344
1,20416,3,6483
1,20397,2,3515
1,20304,3,11048
1,20177,1,50
1,21402,4,22
1,20100,3,186
1,19687,2,3216
1,19998,4,14
1,20422,2,1635
1,20447,2,361
1,19977,3,76555
1,20195,1,421
1,20310,1,171
1,19393,3,55486
1,20377,2,863
1,20207,1,200
1,20378,2,3224
1,20452,2,5328
2,21161,1,395
2,21492,1,110
2,21518,4,39
2,21577,4,72
2,21652,1,725
2,21712,1,145
2,21754,4,50
2,21854,4,26
2,21875,4,32
2,20408,1,295
2,19917,3,5706
2,20007,3,2644
2,19874,2,504
2,20363,2,4250
2,20190,2,284
2,19805,3,94303
2,20453,2,473
2,20201,4,52
2,19930,3,15596
2,20409,3,15363
2,21167,2,1726
2,19790,3,76150
2,20366,3,4101
2,20436,3,3713
2,20107,3,167773
2,20368,3,3576
2,20500,2,1263
2,20166,1,114
2,20402,2,349
2,19690,3,5464
2,20370,2,1462
2,21629,1,323
2,21634,1,411
2,20372,1,135
2,20169,1,183
2,20151,2,665
2,20398,3,10743
2,20405,1,173
2,20108,1,351
2,20416,3,6571
2,20397,2,3559
2,20304,3,12191
2,20177,1,49
2,21402,4,23
2,20100,3,189
2,19687,2,3222
2,19998,4,14
2,20422,2,1611
2,20447,2,363
2,19977,3,76736
2,20195,1,464
2,20310,1,171
2,19393,3,55776
2,20377,2,854
2,20207,1,184
2,20378,2,3144
2,20452,2,5513
3,21161,1,400
3,21492,1,110
3,21518,4,39
3,21577,4,75
3,21652,1,722
3,21712,1,131
3,21754,4,53
3,21854,4,26
3,21875,4,32
3,20408,1,284
3,19917,3,5717
3,20007,3,2725
3,19874,2,506
3,20363,2,4314
3,20190,2,280
3,19805,3,94756
3,20453,2,483
3,20201,4,52
3,19930,3,15577
3,20409,3,15435
3,21167,2,1700
3,19790,3,77365
3,20366,3,3987
3,20436,3,3763
3,20107,3,167748
3,20368,3,3566
3,20500,2,1268
3,20166,1,116
3,20402,2,326
3,19690,3,5486
3,21629,1,350
3,21634,1,413
3,20372,1,132
3,20169,1,184
3,20151,2,669
3,20398,3,10812
3,20405,1,192
3,20108,1,354
3,20416,3,6699
3,20397,2,3612
3,20304,3,12170
3,20177,1,50
3,21402,4,22
3,20100,3,189
3,19687,2,3186
3,19998,4,14
3,20422,2,1585
3,20447,2,362
3,19977,3,76755
3,20195,1,464
3,20310,1,171
3,19393,3,56036
3,20377,2,864
3,20207,1,182
3,20378,2,3246
3,20452,2,5486
4,21161,1,425
4,21352,1,161
4,21492,1,121
4,21518,4,39
4,21577,4,81
4,21652,1,740
4,21712,1,143
4,21754,4,53
4,21854,4,26
4,21875,4,32
4,20408,1,298
4,19917,3,5724
4,20007,3,2761
4,19874,2,517
4,20363,2,4347
4,20190,2,272
4,19805,3,95457
4,20453,2,483
4,20201,4,53
4,19930,3,15693
4,20409,3,15582
4,21167,2,1711
4,19790,3,77600
4,20366,3,3864
4,20436,3,3826
4,20107,3,169078
4,20368,3,3589
4,20500,2,1256
4,20166,1,116
4,20402,2,321
4,19690,3,5572
4,20370,2,1534
4,21629,1,361
4,21634,1,407
4,20372,1,134
4,20169,1,184
4,20151,2,672
4,20398,3,10961
4,20405,1,212
4,20108,1,358
4,20416,3,6874
4,20397,2,3673
4,20304,3,12074
4,20177,1,47
4,21402,4,22
4,20100,3,188
4,19687,2,3180
4,19998,4,14
4,20422,2,1544
4,20447,2,374
4,19977,3,77383
4,20195,1,454
4,20310,1,176
4,19393,3,56367
4,20377,2,847
4,20207,1,145
4,20378,2,3266
4,20452,2,5531
5,21161,1,448
5,21352,1,162
5,21492,1,144
5,21518,4,39
5,21577,4,82
5,21652,1,746
5,21712,1,145
5,21754,4,59
5,21854,4,26
5,21875,4,32
5,20408,1,304
5,19917,3,5736
5,20007,3,2789
5,19874,2,514
5,20363,2,4368
5,20190,2,270
5,19805,3,96153
5,20453,2,479
5,20201,4,53
5,19930,3,15798
5,20409,3,15711
5,21167,2,1696
5,19790,3,78261
5,20366,3,3743
5,20436,3,3880
5,20107,3,170075
5,20368,3,3622
5,20500,2,1250
5,20166,1,110
5,20402,2,323
5,19690,3,5680
5,20370,2,1534
5,21629,1,363
5,21634,1,411
5,20372,1,130
5,20169,1,188
5,20151,2,679
5,20398,3,11028
5,20405,1,212
5,20108,1,370
5,20416,3,6971
5,20397,2,3677
5,20304,3,12155
5,20177,1,47
5,21402,4,22
5,20100,3,188
5,19687,2,3179
5,19998,4,14
5,20422,2,1406
5,20447,2,373
5,19977,3,77411
5,20195,1,450
5,20310,1,175
5,19393,3,56614
5,20377,2,854
5,20207,1,12
5,20378,2,3220
5,20452,2,5602
6,21161,1,455
6,21352,1,162
6,21492,1,148
6,21518,4,39
6,21577,4,88
6,21652,1,750
6,21712,1,145
6,21754,4,59
6,21854,4,26
6,21875,4,32
6,20408,1,305
6,19917,3,5755
6,20007,3,2841
6,19874,2,518
6,20363,2,4392
6,20190,2,265
6,19805,3,96543
6,20453,2,473
6,20201,4,53
6,19930,3,15811
6,20409,3,15716
6,21167,2,1710
6,19790,3,78339
6,20366,3,3609
6,20436,3,3950
6,20107,3,170913
6,20368,3,3619
6,20500,2,1245
6,20166,1,107
6,20402,2,317
6,19690,3,5686
6,20370,2,1567
6,21629,1,381
6,21634,1,407
6,20372,1,135
6,20169,1,186
6,20151,2,673
6,20398,3,11122
6,20405,1,212
6,20108,1,372
6,20416,3,7043
6,20397,2,3744
6,20304,3,12075
6,20177,1,47
6,21402,4,21
6,20100,3,190
6,19687,2,3184
6,19998,4,14
6,20422,2,1425
6,20447,2,407
6,19977,3,77707
6,20195,1,451
6,20310,1,175
6,19393,3,56550
6,20377,2,863
6,20207,1,10
6,20378,2,3279
6,20452,2,5620
7,21161,1,428
7,21352,1,162
7,21492,1,159
7,21518,4,39
7,21577,4,87
7,21652,1,750
7,21712,1,144
7,21754,4,59
7,21854,4,26
7,21875,4,32
7,20408,1,301
7,19917,3,5777
7,20007,3,2862
7,19874,2,548
7,20363,2,4443
7,20190,2,265
7,19805,3,96407
7,20453,2,478
7,20201,4,53
7,19930,3,15837
7,20409,3,15743
7,21167,2,1750
7,19790,3,80775
7,20366,3,3564
7,20436,3,3991
7,20107,3,171393
7,20368,3,3629
7,20500,2,1268
7,20166,1,108
7,20402,2,323
7,19690,3,5712
7,20370,2,1614
7,21629,1,381
7,21634,1,405
7,20372,1,139
7,20169,1,186
7,20151,2,669
7,20398,3,11086
7,20405,1,212
7,20108,1,378
7,20416,3,7026
7,20397,2,3844
7,20304,3,12463
7,20177,1,48
7,21402,4,20
7,20100,3,194
7,19687,2,3209
7,19998,4,14
7,20422,2,1493
7,20447,2,407
7,19977,3,77554
7,20195,1,447
7,20310,1,177
7,19393,3,56678
7,20377,2,873
7,20378,2,3309
7,20452,2,5692
8,21161,1,443
8,21352,1,162
8,21492,1,153
8,21518,4,39
8,21577,4,86
8,21652,1,755
8,21712,1,147
8,21754,4,60
8,21854,4,26
8,21875,4,32
8,20408,1,307
8,19917,3,5817
8,20007,3,2863
8,19874,2,551
8,20363,2,4485
8,20190,2,257
8,19805,3,96005
8,20453,2,472
8,20201,4,53
8,19930,3,15768
8,20409,3,15741
8,21167,2,1725
8,19790,3,77903
8,20366,3,3463
8,20436,3,4028
8,20107,3,173506
8,20368,3,3643
8,20500,2,1252
8,20166,1,107
8,20402,2,321
8,19690,3,5692
8,20370,2,1654
8,21629,1,390
8,21634,1,419
8,20372,1,139
8,20169,1,186
8,20151,2,667
8,20398,3,11100
8,20405,1,212
8,20108,1,375
8,20416,3,7127
8,20397,2,3893
8,20304,3,12596
8,20177,1,50
8,21402,4,21
8,20100,3,204
8,19687,2,3196
8,19998,4,14
8,20422,2,1541
8,20447,2,397
8,19977,3,77432
8,20195,1,456
8,20310,1,173
8,19393,3,56928
8,20377,2,884
8,20378,2,3351
8,20452,2,5701
9,21161,1,460
9,21352,1,162
9,21492,1,148
9,21518,4,39
9,21577,4,86
9,21652,1,751
9,21712,1,149
9,21754,4,57
9,21854,4,26
9,21875,4,32
9,20408,1,307
9,19917,3,5830
9,20007,3,2886
9,19874,2,568
9,20363,2,4503
9,20190,2,263
9,19805,3,95964
9,20453,2,467
9,20201,4,53
9,19930,3,15756
9,20409,3,15817
9,21167,2,1725
9,19790,3,78037
9,20366,3,3292
9,20436,3,4068
9,20107,3,174444
9,20368,3,3622
9,20500,2,1246
9,20166,1,114
9,20402,2,323
9,19690,3,5698
9,20370,2,1710
9,21629,1,396
9,21634,1,396
9,20372,1,141
9,20169,1,191
9,20151,2,693
9,20398,3,11208
9,20108,1,384
9,20416,3,7242
9,20397,2,4007
9,20304,3,12735
9,20177,1,53
9,21402,4,21
9,20100,3,206
9,19687,2,3273
9,19998,4,14
9,20422,2,1581
9,20447,2,387
9,19977,3,77329
9,20195,1,422
9,19393,3,57369
9,20377,2,922
9,20378,2,3367
9,20452,2,5720
10,21161,1,460
10,21352,1,162
10,21492,1,144
10,21518,4,39
10,21577,4,89
10,21652,1,751
10,21712,1,163
10,21754,4,53
10,21854,4,26
10,21875,4,32
10,21974,1,71
10,20408,1,313
10,19917,3,5849
10,20007,3,2911
10,19874,2,582
10,20363,2,4531
10,20190,2,271
10,19805,3,95915
10,20453,2,467
10,20201,4,53
10,19930,3,15774
10,20409,3,15855
10,21167,2,1758
10,19790,3,77951
10,20366,3,3105
10,20436,3,4160
10,20107,3,175429
10,20368,3,3643
10,20500,2,1263
10,20166,1,115
10,20402,2,336
10,19690,3,5723
10,20370,2,1755
10,21629,1,396
10,21634,1,396
10,20372,1,146
10,20169,1,193
10,20151,2,697
10,20398,3,11541
10,20405,1,210
10,20108,1,380
10,20416,3,7401
10,20397,2,4066
10,20304,3,12573
10,20177,1,55
10,21402,4,22
10,20100,3,204
10,19687,2,3317
10,19998,4,14
10,20422,2,1585
10,20447,2,405
10,19977,3,77160
10,20195,1,403
10,20310,1,165
10,19393,3,57599
10,20377,2,918
10,20378,2,3371
10,20452,2,5762
11,21161,1,474
11,21352,1,154
11,21492,1,144
11,21518,4,39
11,21577,4,90
11,21652,1,762
11,21712,1,161
11,21754,4,51
11,21854,4,26
11,21875,4,32
11,21974,1,71
11,20408,1,311
11,19917,3,5851
11,20007,3,2951
11,19874,2,583
11,20363,2,4535
11,20190,2,281
11,19805,3,95215
11,20453,2,471
11,20201,4,53
11,19930,3,15669
11,20409,3,15789
11,21167,2,1755
11,19790,3,77101
11,20366,3,2950
11,20436,3,4225
11,20107,3,177119
11,20368,3,3646
11,20500,2,1239
11,20166,1,111
11,20402,2,334
11,19690,3,5733
11,20370,2,1755
11,21629,1,410
11,21634,1,398
11,20372,1,147
11,20169,1,192
11,20151,2,701
11,20398,3,11647
11,20405,1,210
11,20108,1,375
11,20416,3,7318
11,20397,2,4114
11,20304,3,12562
11,20177,1,54
11,21402,4,22
11,20100,3,203
11,19687,2,3274
11,19998,4,14
11,20422,2,1613
11,20447,2,410
11,19977,3,77202
11,20195,1,409
11,20310,1,156
11,19393,3,57679
11,20377,2,918
11,20378,2,3419
11,20452,2,5760
12,21161,1,462
12,21352,1,154
12,21492,1,154
12,21518,4,39
12,21577,4,90
12,21652,1,762
12,21712,1,161
12,21754,4,54
12,21854,4,26
12,21875,4,32
12,21974,1,70
12,20408,1,311
12,19917,3,5842
12,20007,3,2974
12,19874,2,583
12,20363,2,4485
12,20190,2,292
12,19805,3,95249
12,20453,2,471
12,20201,4,50
12,19930,3,15669
12,20409,3,15767
12,21167,2,1765
12,19790,3,77285
12,20366,3,2918
12,20436,3,4197
12,20107,3,177354
12,20368,3,3643
12,20500,2,1257
12,20166,1,112
12,20402,2,333
12,19690,3,5728
12,20370,2,1758
12,21629,1,410
12,21634,1,383
12,20372,1,147
12,20169,1,190
12,20151,2,699
12,20398,3,11606
12,20405,1,210
12,20108,1,395
12,20416,3,7343
12,20397,2,4085
12,20304,3,12737
12,20177,1,54
12,21402,4,22
12,20100,3,205
12,19687,2,3308
12,19998,4,14
12,20422,2,1638
12,20447,2,414
12,19977,3,77369
12,20195,1,412
12,20310,1,151
12,19393,3,57624
12,20377,2,920
12,20378,2,3470
12,20452,2,5767
