AIRLINE_ID,FULLTIME_EMPLOYEES,CARRIER_GROUP
19393,56725,3
19687,3228,2
19690,5628,3
19790,77731,3
19805,95518,3
19874,538,2
19917,5774,3
19930,15702,3
19977,77216,3
19998,14,4
20007,2819,3
20100,195,3
20107,171828,3
20108,369,1
20151,678,2
20166,112,1
20169,187,1
20177,50,1
20190,274,2
20195,437,1
20201,52,4
20207,122,1
20304,12281,3
20310,169,1
20363,4403,2
20366,3568,3
20368,3611,3
20370,1618,2
20372,138,1
20377,881,2
20378,3305,2
20397,3815,2
20398,11128,3
20402,328,2
20405,203,1
20408,302,1
20409,15643,3
20416,7008,3
20422,1554,2
20436,3958,3
20447,388,2
20452,5623,2
20453,474,2
20500,1257,2
21161,436,1
21167,1742,2
21352,160,1
21402,21,4
21492,135,1
21518,39,4
21577,83,4
21629,372,1
21634,405,1
21652,736,1
21712,148,1
21754,54,4
21854,26,4
21875,32,4
21974,70,1
